user_id,product_id,event_type,timestamp
349,73,add_to_cart,2025-09-08 17:25:19.936687
320,10,add_to_cart,2025-07-13 17:25:19.936687
421,61,click,2025-07-21 17:25:19.936687
468,50,add_to_cart,2025-06-30 17:25:19.936687
49,122,click,2025-12-12 17:25:19.936687
405,175,purchase,2025-09-23 17:25:19.936687
74,1,click,2025-11-22 17:25:19.936687
192,38,click,2025-07-24 17:25:19.936687
261,190,add_to_cart,2025-08-05 17:25:19.936687
356,79,add_to_cart,2025-10-20 17:25:19.936687
70,190,click,2025-07-15 17:25:19.936687
90,184,click,2025-09-07 17:25:19.936687
260,67,click,2025-07-24 17:25:19.936687
126,17,purchase,2025-12-08 17:25:19.936687
231,296,click,2025-12-06 17:25:19.936687
295,209,click,2025-06-21 17:25:19.936687
498,41,click,2025-08-14 17:25:19.936687
419,115,click,2025-12-02 17:25:19.936687
129,100,click,2025-09-16 17:25:19.936687
280,139,add_to_cart,2025-11-19 17:25:19.936687
313,294,purchase,2025-12-11 17:25:19.936687
100,17,click,2025-09-28 17:25:19.936687
326,292,add_to_cart,2025-07-13 17:25:19.936687
297,74,click,2025-08-05 17:25:19.936687
182,263,click,2025-09-21 17:25:19.936687
174,16,click,2025-07-29 17:25:19.936687
316,14,click,2025-12-08 17:25:19.936687
364,281,add_to_cart,2025-10-18 17:25:19.936687
188,4,click,2025-10-17 17:25:19.936687
57,127,purchase,2025-09-27 17:25:19.936687
31,6,add_to_cart,2025-10-22 17:25:19.936687
84,129,add_to_cart,2025-09-13 17:25:19.936687
152,232,purchase,2025-06-28 17:25:19.936687
473,195,purchase,2025-11-05 17:25:19.936687
36,65,click,2025-12-06 17:25:19.936687
213,103,click,2025-08-22 17:25:19.936687
414,277,click,2025-09-23 17:25:19.936687
408,158,add_to_cart,2025-08-31 17:25:19.936687
364,224,click,2025-12-09 17:25:19.936687
106,289,purchase,2025-11-25 17:25:19.936687
414,278,click,2025-10-02 17:25:19.936687
342,182,click,2025-09-06 17:25:19.936687
220,4,click,2025-11-02 17:25:19.936687
391,215,add_to_cart,2025-09-19 17:25:19.936687
163,217,click,2025-11-09 17:25:19.936687
439,209,click,2025-06-27 17:25:19.936687
220,74,click,2025-10-12 17:25:19.937688
270,227,click,2025-08-24 17:25:19.937688
120,93,click,2025-12-10 17:25:19.937688
394,65,click,2025-11-08 17:25:19.937688
336,10,click,2025-06-28 17:25:19.937688
400,278,click,2025-10-20 17:25:19.937688
182,86,purchase,2025-10-07 17:25:19.937688
479,26,purchase,2025-10-12 17:25:19.937688
106,218,click,2025-08-26 17:25:19.937688
217,95,click,2025-11-11 17:25:19.937688
205,244,click,2025-11-22 17:25:19.937688
70,107,purchase,2025-11-08 17:25:19.937688
44,248,click,2025-12-13 17:25:19.937688
329,14,click,2025-06-20 17:25:19.937688
301,161,click,2025-07-01 17:25:19.937688
228,71,click,2025-10-23 17:25:19.937688
184,152,click,2025-10-11 17:25:19.937688
107,75,add_to_cart,2025-08-23 17:25:19.937688
84,215,click,2025-10-17 17:25:19.937688
338,51,click,2025-12-01 17:25:19.937688
250,143,click,2025-06-25 17:25:19.937688
363,36,add_to_cart,2025-08-28 17:25:19.937688
441,167,click,2025-12-12 17:25:19.937688
21,236,click,2025-11-22 17:25:19.937688
196,260,add_to_cart,2025-09-24 17:25:19.937688
178,192,purchase,2025-09-13 17:25:19.937688
417,202,click,2025-09-04 17:25:19.937688
475,262,click,2025-11-06 17:25:19.937688
7,185,click,2025-11-19 17:25:19.937688
70,158,purchase,2025-06-19 17:25:19.937688
127,246,click,2025-11-09 17:25:19.937688
399,110,click,2025-12-15 17:25:19.937688
466,99,click,2025-08-01 17:25:19.937688
160,241,click,2025-07-23 17:25:19.937688
248,202,click,2025-08-15 17:25:19.937688
203,122,purchase,2025-11-07 17:25:19.937688
148,117,click,2025-11-16 17:25:19.937688
472,96,purchase,2025-11-26 17:25:19.937688
143,234,click,2025-07-26 17:25:19.937688
432,67,purchase,2025-10-13 17:25:19.937688
199,218,add_to_cart,2025-08-19 17:25:19.937688
405,15,click,2025-07-16 17:25:19.937688
426,273,click,2025-06-22 17:25:19.937688
154,219,click,2025-10-10 17:25:19.937688
492,274,click,2025-08-16 17:25:19.937688
376,147,click,2025-11-20 17:25:19.937688
384,152,click,2025-06-26 17:25:19.937688
142,15,add_to_cart,2025-08-12 17:25:19.937688
313,84,add_to_cart,2025-12-10 17:25:19.937688
165,192,click,2025-11-14 17:25:19.937688
314,41,purchase,2025-11-29 17:25:19.937688
21,261,purchase,2025-06-25 17:25:19.937688
82,136,click,2025-10-24 17:25:19.937688
69,278,click,2025-09-07 17:25:19.937688
131,106,click,2025-08-06 17:25:19.937688
87,7,click,2025-08-28 17:25:19.937688
218,30,click,2025-07-13 17:25:19.937688
421,126,click,2025-10-06 17:25:19.937688
472,79,add_to_cart,2025-07-25 17:25:19.937688
305,67,add_to_cart,2025-09-06 17:25:19.937688
403,23,click,2025-07-02 17:25:19.937688
371,189,purchase,2025-09-16 17:25:19.937688
345,74,add_to_cart,2025-07-11 17:25:19.937688
341,5,click,2025-10-20 17:25:19.937688
384,82,add_to_cart,2025-10-21 17:25:19.937688
396,25,click,2025-07-02 17:25:19.937688
445,264,click,2025-08-11 17:25:19.937688
425,2,click,2025-06-29 17:25:19.937688
161,278,click,2025-11-28 17:25:19.937688
178,224,click,2025-10-02 17:25:19.937688
117,72,click,2025-11-24 17:25:19.937688
196,68,add_to_cart,2025-08-06 17:25:19.937688
383,94,add_to_cart,2025-12-13 17:25:19.937688
490,19,click,2025-11-22 17:25:19.937688
327,128,click,2025-10-25 17:25:19.937688
86,82,add_to_cart,2025-10-10 17:25:19.937688
289,254,click,2025-08-15 17:25:19.937688
